EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
Staff,LoginId,LoginId,String,0,The login ID for the user; used for security access control interface.,This entity represents an individual who performs specified activities for any public or private education institution or agency that provides instructional and/or support services to students or staff at the early childhood level through high school completion.,,,,,,,,,,,,,,,,,,,,
Staff,Recognition.RecognitionDescription,RecognitionDescription,String,0,A description of the type of recognition earned by or awarded to the individual.,This entity represents an individual who performs specified activities for any public or private education institution or agency that provides instructional and/or support services to students or staff at the early childhood level through high school completion.,,,,,,,,,,,,,,,,,,,,
StaffEducationOrganizationAssignmentAssociation,BeginDate,BeginDate,Date,1,"Month, day, and year of the start or effective date of a staff member's employment, contract, or relationship with the education organization. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",This association indicates the education organization to which a staff member provides services.,,,,,,,,,,,,,,,,,,,,
StaffEducationOrganizationContactAssociation,Address.Latitude,Latitude,String,0,The geographic latitude of the physical address.,This association provides the contact information of the staff associated with the education organization.,,,,,,,,,,,,,,,,,,,,
StaffLeave,BeginDate,BeginDate,Date,1,"The begin date of the staff leave. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.","This entity represents the recording of the dates of staff leave (e.g., sick leave, personal time, vacation).",,,,,,,,,,,,,,,,,,,,
StateEducationAgency,EducationOrganization.InternationalAddress.AddressLine2,AddressLine2,String,0,The second line of the address.,"This entity represents the agency of the state charged with the primary responsibility for coordinating and supervising public instruction, including the setting of standards for elementary and secondary instructional programs.",,,,,,,,,,,,,,,,,,,,
StateEducationAgency,EducationOrganization.InternationalAddress.EndDate,EndDate,Date,0,"The last date the address is valid. For physical addresses, the date the individual moved from that address. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.","This entity represents the agency of the state charged with the primary responsibility for coordinating and supervising public instruction, including the setting of standards for elementary and secondary instructional programs.",,,,,,,,,,,,,,,,,,,,
Student,BirthData.BirthCity,BirthCity,String,0,The city the student was born in.,"This entity represents an individual for whom instruction, services, and/or care are provided in an early childhood, elementary, or secondary educational program under the jurisdiction of a school, education agency or other institution or program. A student is a person who has been enrolled in a school or other educational institution.",,,,,,,,,,,,,,,,,,,,
Student,OtherName.LastSurname,LastSurname,String,1,The name borne in common by members of a family.,"This entity represents an individual for whom instruction, services, and/or care are provided in an early childhood, elementary, or secondary educational program under the jurisdiction of a school, education agency or other institution or program. A student is a person who has been enrolled in a school or other educational institution.",,,,,,,,,,,,,,,,,,,,
StudentAcademicRecord,ClassRanking.ClassRank,ClassRank,Number,1,"The academic rank of a student in relation to his or her graduating class (e.g., 1st, 2nd, 3rd).",This educational entity represents the cumulative record of academic achievement for a student.,,,,,,,,,,,,,,,,,,,,
StudentAcademicRecord,Diploma.DiplomaAwardExpiresDate,DiplomaAwardExpiresDate,Date,0,"Date on which the diploma expires. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",This educational entity represents the cumulative record of academic achievement for a student.,,,,,,,,,,,,,,,,,,,,
